sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
0,0,0,0,1000,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.832915801824497,0.05142413149212434,0.7209600325499005,0.41142614426214236,0.5070747136977989,1.2864097175211
1,0,0,1,1001,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.868562571758318,0.05362495921124182,0.711656937036339,0.4065377909726558,0.521198933977629,1.351399836802539
2,1,1,0,1002,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.9074388419307824,0.05724209286705035,0.6834422250201746,0.37001706020693387,0.5072659997303561,1.4408692987941056
3,1,1,1,1003,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.8810093564202732,0.05557489614357537,0.6916736197081135,0.37270073913809976,0.509361222206614,1.3893083756525366
4,2,2,0,1004,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.9657381324053637,0.060325900373941296,0.6689325551005916,0.3819926701651994,0.5307734077191946,1.539581634972181
5,2,2,1,1005,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.854182709442626,0.05335746751827536,0.7080064977189915,0.39309382532103027,0.5368469893527285,1.321422285966763
6,3,3,0,1006,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.9118912389564972,0.0569198955885673,0.6848203143454783,0.41868085488274187,0.4829140686755656,1.4443466478261764
7,3,3,1,1007,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.824185532199607,0.05144533956932491,0.7168740145771688,0.39006640800366027,0.49734856010750944,1.2799757738205662
8,4,4,0,1008,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.883901933168705,0.05452715128966269,0.7028090967004097,0.3855373486163371,0.5392080965909964,1.380022993928262
9,4,4,1,1009,0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.8939994723726425,0.05515005981284307,0.6953358733928037,0.4150098241841209,0.5125447756571728,1.400988889529426
0,0,0,0,1000,0.2,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.9165208270559146,0.05658589670474868,0.6929510267558728,0.44970351796128033,0.4933653604420756,1.440273809499736
1,0,0,1,1001,0.2,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.941394239129398,0.05812157847513021,0.6874784762859358,0.44363493633061096,0.5013743972603975,1.4867686765051118
2,1,1,0,1002,0.2,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.9734034237663514,0.061403200530607695,0.6604306452988218,0.3996323334296947,0.4691223834717076,1.5693185985017615
3,1,1,1,1003,0.2,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.9326587189856665,0.05883298635514438,0.6735979195034334,0.40223800890213396,0.47851985489687504,1.4895570452197766
4,2,2,0,1004,0.2,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,1.0438477967405158,0.0652051069319221,0.6421555581842735,0.41521722394043875,0.5028210397545101,1.6863037470169702
