sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
0,0,0,0,1000,0.02,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.17006683838222864,0.01049990820231833,0.43024919274472206,0.07716191535862249,0.0833150012660714,0.27179558115282965
1,0,0,0,1000,0.05,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.4250803767891911,0.02624441647384557,0.4303654019140577,0.19295715706648536,0.208155196552396,0.6793518454223673
2,0,0,0,1000,0.1,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.8501120336978876,0.05248582498754037,0.4303980457751482,0.3859522643452599,0.4162487577813334,1.3586203409363984
3,0,0,0,1000,0.2,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,1.700178758282383,0.10496885259532188,0.43041322504476753,0.7719436175735152,0.8324458511798117,2.7171603534728894
4,0,0,1,1001,0.02,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.1710127059589726,0.010558305964173816,0.4322766252511865,0.07718509610988206,0.08164964547930532,0.27406538112253787
5,0,0,1,1001,0.05,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.427672796174371,0.026404472166214717,0.43208934851747194,0.19291234872533564,0.20421101893239654,0.685415747717166
6,0,0,1,1001,0.1,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.8554486365184122,0.052815306268316604,0.4320209318657088,0.38579414256328126,0.40850706897861505,1.3710076452456408
7,0,0,1,1001,0.2,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,1.7110036991670192,0.10563718327439728,0.43198560080568205,0.7715588704626138,0.8171093208618586,2.742194421054204
8,1,1,0,1002,0.02,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.1651551110223409,0.010418139235139736,0.42386051758002463,0.06963542411278345,0.0754205966854389,0.2670042572594121
9,1,1,0,1002,0.05,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.4127588244114849,0.026037213602609906,0.4240404575101723,0.17417205974349081,0.18853793652930637,0.667253386265393
10,1,1,0,1002,0.1,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.8254608576209648,0.052070844762955946,0.42408008044830214,0.34841509459711467,0.3771089715127323,1.3343734963849185
11,1,1,0,1002,0.2,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,1.6508758695567287,0.10413879753710939,0.42409607360115054,0.6969069001980104,0.7542668384382044,2.6686280593111658
12,1,1,1,1003,0.02,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.16470773847980205,0.010389918555747514,0.42357319543250826,0.0697375768228518,0.07970461406284177,0.264895757273239
13,1,1,1,1003,0.05,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.4116459688162835,0.025967013628369666,0.42374590870371887,0.1743299218796264,0.19917831828065716,0.6620379798715641
14,1,1,1,1003,0.1,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.8232389438765875,0.05193068436093084,0.42378300109743794,0.3486658120424742,0.39834103275179944,1.3239802299445809
15,1,1,1,1003,0.2,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,1.646435869411172,0.1038587181654562,0.42379770623445057,0.6973433354311184,0.7966814192252677,2.6478791900391117
16,2,2,0,1004,0.02,savitzky_golay,savgol|w=7|p=2,7,2,,,,,,0.1721919809185354,0.010756162501537228,0.40970375672254455,0.07270713815945208,0.0780571235549735,0.2785156950710925
