alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=1|degree=2,,,128,1.0,16.118110236220474,compact_polynomial,2,1.5556180243477422,0.005019351959389225,0.0969046270640101,2.5481124880919637e-05,-4.31798859056127,0.1056330305067184,0.9070369058034983,0.001748780377556241,1.5861694479947108,0.0191766620254258,1.9774248120180373,0.007862444053190702,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=1|degree=3,,,128,1.0,16.118110236220474,compact_polynomial,3,2.0961207362470953,0.007601036691641237,0.13056898317567409,3.865506616133581e-05,-6.165217376925589,0.1651897573173295,1.3046238242315562,0.003052239162075554,2.012938628347599,0.023613786214262137,2.723086435598728,0.011138836019543017,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=1|degree=4,,,128,1.0,16.118110236220474,compact_polynomial,4,3.2797101602736562,0.0036033871442255326,0.20426831856652275,2.2912805884104417e-05,-10.207553751179358,0.13497003727083196,1.87348726208856,0.0024466069447858846,2.5594769997720874,0.02125213095947299,4.711088814783415,0.004938102187980318,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=2,,,128,2.0,32.23622047244095,compact_polynomial,2,1.3257141377714379,0.002512048002843336,0.08258159259396244,1.392845227797418e-05,-3.5317025312826757,0.06074484620989419,0.6426788294259647,0.002112502684524214,1.4673722907844886,0.0006666994227654959,1.6420515761348426,0.017260635631136584,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=3,,,128,2.0,32.23622047244095,compact_polynomial,3,0.9662538296037351,0.008346800438741342,0.06021170517513188,3.8053935864806417e-05,-2.3051387587581638,0.13254200118943388,0.4733199240957431,0.002390035409263457,1.173334316705335,0.023784556234242714,1.0937856446828609,0.003649479512094455,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=4,,,128,2.0,32.23622047244095,compact_polynomial,4,0.993565622820211,0.004197406711058958,0.061902661343917656,2.044096685152122e-05,-2.3974738269530027,0.07645148646049159,0.4974385538973002,0.0007437632896866803,1.164476137865865,0.015661636863589522,1.1632973820597106,0.0021956771800596955,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=4|degree=2,,,128,4.0,64.4724409448819,compact_polynomial,2,1.3412033412825302,0.00598349133217394,0.08349767739103876,1.7153979493087123e-05,-3.579718157790753,0.045595633867292214,0.8100769760449211,0.02277567629289672,1.5373325810881955,0.01343318234766908,1.5347195166355405,0.0086152826870586,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=4|degree=3,,,128,4.0,64.4724409448819,compact_polynomial,3,1.277740203266008,0.018155736813327824,0.07959314168937612,7.351709101041529e-05,-3.369110266055754,0.25119358551909227,0.6497773238445604,0.0007080646267299031,1.4061307864453325,0.011204848348376555,1.5735781978233883,0.07042592704828493,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=4|degree=4,,,128,4.0,64.4724409448819,compact_polynomial,4,1.1461260894296355,0.0021842893235114974,0.07139834317660357,1.2194591626594756e-05,-2.918078710077339,0.05119678290182633,0.5900621450013364,0.004241843540656246,1.350806517844714,0.011303801055603193,1.3263497983822599,0.0019566219552777505,10,5,True
0.02,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=1|degree=2,,,32,1.0,66.03225806451613,compact_polynomial,2,6.3639687362733435,0.2402554990735828,0.3965075283279844,0.0011037649249618134,-20.764878318978944,4.053008972553215,4.521953412910101,0.08076684697117523,6.03673892172253,0.09649596591744504,8.033989731308514,0.6247833689846187,10,5,True
